[21:49:16][rank0] ============================================================
[21:49:16][rank0]   EchoTrace GPU-Accelerated DDP Training
[21:49:16][rank0]   GPUs            : 4
[21:49:16][rank0]   Total samples   : 199991
[21:49:16][rank0]   Batch/GPU       : 64
[21:49:16][rank0]   Effective batch : 256
[21:49:16][rank0]   Epochs          : 10
[21:49:16][rank0]   Trainable params: 16,018,433 / 24,561,729
[21:49:16][rank0] ============================================================
[22:35:34][rank0] Epoch 02/10 | Batch  440/781 (56.3%) | Loss: 0.0112
[22:36:17][rank0] Epoch 02/10 | Batch  460/781 (58.9%) | Loss: 0.0284
[22:37:01][rank0] Epoch 02/10 | Batch  480/781 (61.5%) | Loss: 0.0153
[22:37:49][rank0] Epoch 02/10 | Batch  500/781 (64.0%) | Loss: 0.0585
[22:38:30][rank0] Epoch 02/10 | Batch  520/781 (66.6%) | Loss: 0.0205
[22:39:12][rank0] Epoch 02/10 | Batch  540/781 (69.1%) | Loss: 0.1238
[22:39:58][rank0] Epoch 02/10 | Batch  560/781 (71.7%) | Loss: 0.0247
[22:40:40][rank0] Epoch 02/10 | Batch  580/781 (74.3%) | Loss: 0.0577
[22:41:19][rank0] Epoch 02/10 | Batch  600/781 (76.8%) | Loss: 0.0899
[22:42:02][rank0] Epoch 02/10 | Batch  620/781 (79.4%) | Loss: 0.0553
[22:42:49][rank0] Epoch 02/10 | Batch  640/781 (81.9%) | Loss: 0.0575
[22:43:38][rank0] Epoch 02/10 | Batch  660/781 (84.5%) | Loss: 0.1153
[22:44:23][rank0] Epoch 02/10 | Batch  680/781 (87.1%) | Loss: 0.0121
[22:45:11][rank0] Epoch 02/10 | Batch  700/781 (89.6%) | Loss: 0.0104
[22:45:51][rank0] Epoch 02/10 | Batch  720/781 (92.2%) | Loss: 0.0389
[22:46:38][rank0] Epoch 02/10 | Batch  740/781 (94.8%) | Loss: 0.0950
[22:47:20][rank0] Epoch 02/10 | Batch  760/781 (97.3%) | Loss: 0.0499
